LINE_NO,LABEL_NO,bianma,dwell_time
328,1,1,0.0
K179,18,2,25.666666666666668
316,45,3,19.1875
A10,3,4,38.289855072463766
A10,4,5,29.463768115942027
322,5,6,25.33333333333333
A318,41,7,12.0
316,50,8,0.0
328,3,9,27.0
322,6,10,8.77777777777778
311,37,11,27.634146341463413
K178,8,12,16.25
K178,9,13,19.75
K177,8,14,23.5
K178,10,15,41.5
K179,5,16,65.0
K26,27,17,41.82692307692308
307,44,18,0.0
A318,34,19,46.37931034482759
A318,33,20,26.448275862068964
316,46,21,32.125
322,3,22,21.055555555555557
322,1,23,73.0078125
322,4,24,24.666666666666668
A10,2,25,29.115942028985508
309,28,26,28.962311557788944
310,6,27,25.416666666666664
A318,40,28,39.81481481481482
K111,3,29,30.543010752688172
K38,16,30,13.096153846153847
K143,21,31,31.585365853658537
A10,8,32,25.685714285714287
A10,6,33,28.357142857142858
A10,5,34,26.98550724637681
A10,7,35,8.457142857142857
307,43,36,23.05555555555556
311,38,37,22.65217391304348
311,39,38,37.36585365853659
321,7,39,26.428571428571427
321,5,40,23.444444444444443
K162,5,41,28.660377358490564
K176,18,42,0.0
K180,15,43,5.666666666666668
K173,9,44,21.11111111111111
K173,10,45,20.666666666666668
K177,3,46,13.67741935483871
K177,5,47,29.75
K177,7,48,26.0
K177,6,49,31.0
K177,9,50,22.25
K135,9,51,25.310344827586206
K135,10,52,25.344827586206897
K135,8,53,31.651041666666664
K135,7,54,26.78125
K179,6,55,30.666666666666668
K143,13,56,10.02127659574468
K178,16,57,5.25
K178,14,58,33.5
K179,4,59,44.66666666666666
K179,3,60,46.0
K179,16,61,27.40667545015371
K132,4,62,29.901639344262296
K26,25,63,19.384615384615387
K26,19,64,0.0
K26,28,65,27.240384615384613
K177,13,66,5.0
A318,42,67,0.0
310,12,68,27.58333333333333
310,13,69,27.916666666666668
315,13,70,34.10323383084577
97,16,71,0.0
K71,4,72,9.978260869565217
327,6,73,35.0625
316,47,74,25.333333333333332
316,42,75,24.4375
316,40,76,17.555555555555557
A318,32,77,9.566666666666666
316,41,78,27.5
328,6,79,22.944444444444443
A318,31,80,26.9
309,1,81,82.8
309,2,82,10.133333333333333
K84,1,83,54.49457482030432
K130,6,84,23.21505376344086
K126,2,85,26.766666666666666
K140,5,86,26.885858666880566
K179,19,87,43.24444444444445
K143,19,88,25.21152086906804
A10,9,89,22.15714285714286
K180,10,90,11.083333333333334
K180,9,91,7.583333333333334
307,37,92,21.22222222222222
307,41,93,32.22222222222222
K176,11,94,31.894522144522146
K162,9,95,24.150943396226417
K162,7,96,26.75471698113208
321,3,97,24.666666666666668
308,1,98,72.60989010989012
321,1,99,0.0
K176,12,100,31.647863247863246
321,4,101,30.01842948717949
K301,29,102,27.853658536585368
K178,15,103,16.5
K173,5,104,30.925925925925924
K173,6,105,27.03703703703704
K173,1,106,57.749455337690634
K173,3,107,22.11111111111111
K173,8,108,27.51851851851852
310,2,109,29.08333333333333
K71,1,110,60.522946859903385
T15,19,111,36.16639924252125
K111,5,112,45.424709864603486
