LINE_NO,LABEL_NO,bianma,dwell_time
328,1,1,0.0
K179,18,2,0.626686958271015
316,45,3,0.0
A10,3,4,0.604608059200151
A10,4,5,0.566647064402921
322,5,6,0.0
A318,41,7,0.0
316,50,8,0.0
328,3,9,0.0
322,6,10,0.0
311,37,11,0.114872054725108
K178,8,12,0.0
K178,9,13,0.0
K177,8,14,0.0
K178,10,15,0.0
K179,5,16,0.0
K26,27,17,0.013421311245262
307,44,18,0.0
A318,34,19,0.109331651954603
A318,33,20,0.117402269861286
316,46,21,0.0
322,3,22,0.0
322,1,23,0.0
322,4,24,0.0
A10,2,25,0.637481893325688
309,28,26,0.152407473569179
310,6,27,0.0
A318,40,28,0.0
K111,3,29,0.324719536877636
K38,16,30,0.019980398271484
K143,21,31,0.187383980872584
A10,8,32,0.590757867106187
A10,6,33,0.591276745108812
A10,5,34,0.566302760125202
A10,7,35,0.590849433812532
307,43,36,0.238337574215437
311,38,37,0.201099537037037
311,39,38,0.105953889029643
321,7,39,0.11646722135667
321,5,40,0.11821416337941
K162,5,41,0.969591290189745
K176,18,42,0.0
K180,15,43,0.0
K173,9,44,0.379626168224299
K173,10,45,0.380467289719626
K177,3,46,0.381401869158878
K177,5,47,0.0
K177,7,48,0.0
K177,6,49,0.0
K177,9,50,0.0
K135,9,51,0.359131736526946
K135,10,52,0.359580838323353
K135,8,53,0.360778443113772
K135,7,54,0.360179640718563
K179,6,55,0.0
K143,13,56,0.563500211365421
K178,16,57,0.0
K178,14,58,0.0
K179,4,59,0.0
K179,3,60,0.0
K179,16,61,0.559471819865415
K132,4,62,0.450830449858996
K26,25,63,0.008006896392723
K26,19,64,0.0
K26,28,65,0.011409788758426
K177,13,66,0.0
A318,42,67,0.0
310,12,68,0.0
310,13,69,0.0
315,13,70,0.072903035931937
97,16,71,0.0
K71,4,72,0.44548436896951
327,6,73,0.0
316,47,74,0.0
316,42,75,0.0
316,40,76,0.0
A318,32,77,0.115258511979823
316,41,78,0.0
328,6,79,0.0
A318,31,80,0.115384615384615
309,1,81,0.0
309,2,82,0.0
K84,1,83,0.044788057247302
K130,6,84,0.0244537186876
K126,2,85,0.124377593360996
K140,5,86,0.15586613995991
K179,19,87,0.602669742913646
K143,19,88,0.139738805859072
A10,9,89,0.590513689222599
K180,10,90,0.0
K180,9,91,0.0
307,37,92,0.206106870229008
307,41,93,0.23197625106022
K176,11,94,0.911714187564411
K162,9,95,0.987652434587735
K162,7,96,0.991173164236444
321,3,97,0.032230603703091
308,1,98,0.0
321,1,99,0.0
K176,12,100,0.654172256945808
321,4,101,0.103493328613431
K301,29,102,0.130986164384986
K178,15,103,0.0
K173,5,104,0.37518691588785
K173,6,105,0.373644859813084
K173,1,106,0.187242990654206
K173,3,107,0.373551401869159
K173,8,108,0.377196261682243
310,2,109,0.0
K71,1,110,0.223441721343111
T15,19,111,0.322380672073179
K111,5,112,0.23794360901946
K135,5,113,0.358832335329341
K135,6,114,0.361077844311377
K179,13,115,0.0
K143,12,116,0.472448760511846
K135,1,117,0.0
K178,12,118,0.0
K179,1,119,0.0
K179,2,120,0.0
K132,1,121,0.0
K143,16,122,0.576809750927398
K20,8,123,0.167557932263815
K26,23,124,0.011546089271646
K26,21,125,0.010812573012035
K26,22,126,0.012198103724632
K26,30,127,0.0
K177,10,128,0.0
309,5,129,0.0
309,6,130,0.0
310,21,131,0.0
310,19,132,0.0
310,14,133,0.0
310,17,134,0.0
310,16,135,0.046714088544431
310,9,136,0.0
310,8,137,0.0
310,11,138,0.0
307,36,139,0.081321121287816
97,17,140,0.023910222514183
322,16,141,0.029752475247525
K180,5,142,0.0
313,21,143,0.0
K57,29,144,0.212113120980215
K165,1,145,0.0
B8,17,146,0.135755320354837
318,1,147,0.0
97,25,148,0.043052836726121
K301,39,149,0.136752136752137
K301,38,150,0.013785274083685
K301,33,151,0.004297761920208
K130,7,152,0.027861976932609
K126,5,153,0.142215103694742
K78,3,154,0.203819006723381
K126,3,155,0.125829875518672
K38,15,156,0.001109434632111
K38,14,157,0.001825700714065
K132,15,158,0.14440959741853
B7,6,159,0.165480326631325
K132,13,160,0.327706071030428
K22,36,161,0.234059792276206
K77,24,162,0.193950488113012
K140,6,163,0.108929959351948
K132,16,164,0.311637984901697
K180,8,165,0.0
K180,12,166,0.0
K180,14,167,0.0
307,38,168,0.211195928753181
307,39,169,0.220949957591179
308,4,170,0.202371787695115
308,2,171,0.205085959543328
K176,21,172,0.0
K176,22,173,0.0
K176,20,174,0.0
K301,31,175,0.07719567254451
K301,26,176,0.098424651605643
311,36,177,0.419704861111111
K162,8,178,0.988989420530283
313,8,179,0.428175918459654
K162,13,180,0.438330815793735
321,8,181,0.479724602203182
K158,7,182,0.0
K158,10,183,0.0
K70,4,184,0.175425394627971
K84,3,185,0.460763263958898
B4,3,186,0.145126738223495
501,1,187,0.148332550833144
K4,3,188,0.208539478450499
T15,16,189,0.358109890103235
511,6,190,0.288426739831063
K66,31,191,0.0
K82,9,192,0.404543082203527
K92,2,193,0.259245777274491
K173,7,194,0.377757009345794
K178,11,195,0.0
K149,1,196,0.003035926255156
K26,18,197,0.266622942015273
K20,9,198,0.154767869981046
K302,1,199,0.041794292153377
K141,41,200,0.205535695721493
K24,10,201,0.283993576017131
K126,1,202,0.0
309,4,203,0.0
309,3,204,0.0
97,24,205,0.047218388363945
K10,41,206,0.019314319158994
315,3,207,0.265814153340308
315,1,208,0.0
316,17,209,0.310220601990646
K40,23,210,0.156072951592802
97,12,211,0.0
97,19,212,0.030745260971176
318,30,213,0.218217449109241
313,11,214,0.236787184172298
K106,9,215,0.0
322,13,216,0.0
K10,42,217,0.0
B6,9,218,0.177657363657779
B8,14,219,0.164266872993097
K57,24,220,0.161194547158119
308,17,221,0.283669493854932
317,1,222,0.151739347032385
K146,15,223,0.459726533628973
306,9,224,0.174455095016276
K99,13,225,0.883346033336688
B8,22,226,0.0
K122,31,227,0.0
327,33,228,0.26224059758752
K71,3,229,0.445532612890776
315,14,230,0.142692652860795
97,13,231,0.011533397782084
327,1,232,0.0
327,2,233,0.0
327,4,234,0.0
316,34,235,0.0
97,28,236,0.026269025728193
97,27,237,0.039504200381384
K301,40,238,0.0
K301,35,239,0.012812195913072
K38,12,240,0.000172752596687
B7,12,241,0.201118318221318
K26,12,242,0.242755092513236
K132,9,243,0.224551310438923
K132,6,244,0.445727484776288
B7,4,245,0.211297700810761
K95,30,246,0.308965869929721
K4,9,247,0.207575170316481
K105,6,248,0.333574197650947
K130,19,249,0.027651671481634
K84,4,250,0.425033330989376
K130,16,251,0.262218798098284
K149,20,252,0.08826108164832
K149,22,253,0.129115233540872
K127,17,254,0.093305320903359
K12,4,255,0.049018475468439
32,2,256,0.002251071292965
